timestamp,Price,Return,MarketDate,UpdatedAt
2025-11-27 16:40:45.604031,897.42,,2025-11-27,2025-11-27 16:40:45
2025-11-27 16:46:25.102034,897.44,2.2286109068403448e-05,2025-11-27,2025-11-27 16:46:25
2025-11-27 16:49:28.295635,897.7,0.00028971296131219404,2025-11-27,2025-11-27 16:49:28
2025-11-27 16:52:23.354899,897.38,-0.00035646652556542424,2025-11-27,2025-11-27 16:52:23
2025-11-27 16:55:26.440758,896.5,-0.0009806325079676492,2025-11-27,2025-11-27 16:55:26
2025-11-27 17:12:52.305854,896.05,-0.0005019520356943641,2025-11-27,2025-11-27 17:12:52
2025-11-27 17:16:50.692429,896.45,0.0004464036605100752,2025-11-27,2025-11-27 17:16:50
2025-11-27 17:19:34.760011,896.69,0.00026772268391983545,2025-11-27,2025-11-27 17:19:34
2025-11-27 17:27:33.351813,897.31,0.0006914318214765736,2025-11-27,2025-11-27 17:27:33
2025-11-27 17:30:42.889143,897.51,0.00022288841091722134,2025-11-27,2025-11-27 17:30:42
2025-11-27 17:32:31.644035,897.73,0.0002451226170181453,2025-11-27,2025-11-27 17:32:31
2025-11-27 17:35:32.021016,896.99,-0.000824301293261942,2025-11-27,2025-11-27 17:35:32
2025-11-27 17:37:36.912109,896.83,-0.00017837434085099524,2025-11-27,2025-11-27 17:37:36
2025-11-27 17:43:31.059796,894.92,-0.0021297235819498495,2025-11-27,2025-11-27 17:43:31
2025-11-27 17:48:07.548430,893.29,-0.0018213918562552944,2025-11-27,2025-11-27 17:48:07
2025-11-27 17:51:20.255832,893.79,0.0005597286435536919,2025-11-27,2025-11-27 17:51:20
2025-11-27 17:54:23.313641,892.64,-0.0012866557021223857,2025-11-27,2025-11-27 17:54:23
2025-11-27 17:58:56.803632,893.01,0.00041450080659610755,2025-11-27,2025-11-27 17:58:56
2025-11-27 18:01:52.821105,893.39,0.0004255271497519697,2025-11-27,2025-11-27 18:01:52
2025-11-27 18:04:52.672656,894.5,0.0012424585007666522,2025-11-27,2025-11-27 18:04:52
2025-11-27 18:30:16.529188,894.43,-7.825600894362239e-05,2025-11-27,2025-11-27 18:30:16
2025-11-27 18:34:22.302297,893.76,-0.0007490804199321577,2025-11-27,2025-11-27 18:34:22
2025-11-27 18:36:30.962424,893.41,-0.00039160401002513723,2025-11-27,2025-11-27 18:36:30
2025-11-27 18:38:33.624672,893.67,0.0002910198005394715,2025-11-27,2025-11-27 18:38:33
2025-11-27 18:42:11.704482,895.17,0.0016784719191647035,2025-11-27,2025-11-27 18:42:11
2025-11-27 18:45:12.910927,895.8,0.0007037769362243651,2025-11-27,2025-11-27 18:45:12
2025-11-27 18:48:20.490662,895.96,0.00017861129716467694,2025-11-27,2025-11-27 18:48:20
2025-11-27 18:51:30.387304,895.41,-0.0006138666904773604,2025-11-27,2025-11-27 18:51:30
2025-11-27 18:54:09.618889,895.4,-1.1168068259181929e-05,2025-11-27,2025-11-27 18:54:09
2025-11-27 18:57:20.370435,895.52,0.0001340183158364816,2025-11-27,2025-11-27 18:57:20
2025-11-27 19:00:30.375284,895.71,0.00021216723244599223,2025-11-27,2025-11-27 19:00:30
2025-11-27 19:08:58.702611,895.21,-0.0005582163870002654,2025-11-27,2025-11-27 19:08:58
2025-11-27 19:11:58.582105,894.85,-0.00040214027993434875,2025-11-27,2025-11-27 19:11:58
2025-11-27 20:22:24.631001,896.04,0.0013298318153880384,2025-11-27,2025-11-27 20:22:24
2025-11-27 20:26:21.476131,895.83,-0.00023436453729730466,2025-11-27,2025-11-27 20:26:21
2025-11-27 20:29:25.617472,895.9,7.813982563642519e-05,2025-11-27,2025-11-27 20:29:25
2025-11-27 20:32:20.692731,895.29,-0.0006808795624512198,2025-11-27,2025-11-27 20:32:20
2025-11-27 20:37:25.187609,895.7,0.0004579521719221269,2025-11-27,2025-11-27 20:37:25
2025-11-27 20:40:03.297037,896.46,0.0008484983811543056,2025-11-27,2025-11-27 20:40:03
2025-11-27 20:43:10.181503,896.24,-0.0002454097226870511,2025-11-27,2025-11-27 20:43:10
2025-11-27 20:46:17.626921,895.52,-0.0008033562438632957,2025-11-27,2025-11-27 20:46:17
2025-11-27 20:49:25.264847,894.6,-0.001027336072896179,2025-11-27,2025-11-27 20:49:25
2025-11-27 20:52:33.082042,892.6,-0.002235636038452893,2025-11-27,2025-11-27 20:52:33
2025-11-27 20:55:03.270963,890.88,-0.0019269549630294147,2025-11-27,2025-11-27 20:55:03
2025-11-27 20:58:07.947461,890.66,-0.0002469468390804419,2025-11-27,2025-11-27 20:58:07
2025-11-27 21:02:15.793917,891.84,0.0013248602160196299,2025-11-27,2025-11-27 21:02:15
2025-11-27 21:05:27.782202,892.5,0.0007400430570505545,2025-11-27,2025-11-27 21:05:27
2025-11-27 21:07:35.308683,892.34,-0.00017927170868348163,2025-11-27,2025-11-27 21:07:35
2025-11-27 21:10:46.532135,892.17,-0.0001905103435910771,2025-11-27,2025-11-27 21:10:46
2025-11-27 21:12:59.468748,892.42,0.0002802156539671863,2025-11-27,2025-11-27 21:12:59
2025-11-27 21:17:02.060395,893.96,0.001725644875731236,2025-11-27,2025-11-27 21:17:02
2025-11-27 21:19:13.071406,893.47,-0.0005481229585216907,2025-11-27,2025-11-27 21:19:13
2025-11-27 21:23:21.816894,891.3,-0.0024287329177253847,2025-11-27,2025-11-27 21:23:21
2025-11-27 21:25:29.140156,891.08,-0.00024683047234363986,2025-11-27,2025-11-27 21:25:29
2025-11-27 21:28:36.322669,891.85,0.000864119944337105,2025-11-27,2025-11-27 21:28:36
2025-11-27 21:32:04.258601,889.63,-0.0024892078264282524,2025-11-27,2025-11-27 21:32:04
2025-11-27 21:34:14.668052,890.25,0.0006969189438306156,2025-11-27,2025-11-27 21:34:14
2025-11-27 21:38:23.753435,891.39,0.0012805391743893058,2025-11-27,2025-11-27 21:38:23
2025-11-27 21:40:34.492972,891.45,6.731060478593065e-05,2025-11-27,2025-11-27 21:40:34
2025-11-27 21:43:43.816706,892.49,0.0011666386224689074,2025-11-27,2025-11-27 21:43:43
2025-11-27 21:46:03.645264,893.05,0.0006274580107339389,2025-11-27,2025-11-27 21:46:03
2025-11-27 21:49:11.301359,893.68,0.00070544762331326,2025-11-27,2025-11-27 21:49:11
